Market,Property,Historical Weekly Avg Entrants,Year of Date,Date,Total Entrants
US - Rock Center,1 Rockefeller Plaza,1495,2020,12/31/2020,87
US - Rock Center,1 Rockefeller Plaza,1495,2020,12/30/2020,176
US - Rock Center,1 Rockefeller Plaza,1495,2020,12/29/2020,147
US - Rock Center,1 Rockefeller Plaza,1495,2020,12/28/2020,146
US - Rock Center,1 Rockefeller Plaza,1495,2020,12/25/2020,0
US - Rock Center,1 Rockefeller Plaza,1495,2020,12/24/2020,74
US - Rock Center,1 Rockefeller Plaza,1495,2020,12/23/2020,192
US - Rock Center,1 Rockefeller Plaza,1495,2020,12/22/2020,185
US - Rock Center,1 Rockefeller Plaza,1495,2020,12/21/2020,185
US - Rock Center,1 Rockefeller Plaza,1495,2020,12/18/2020,155
US - Rock Center,1 Rockefeller Plaza,1495,2020,12/17/2020,90
US - Rock Center,1 Rockefeller Plaza,1495,2020,12/16/2020,192
US - Rock Center,1 Rockefeller Plaza,1495,2020,12/15/2020,268
US - Rock Center,1 Rockefeller Plaza,1495,2020,12/14/2020,210
US - Rock Center,1 Rockefeller Plaza,1495,2020,12/11/2020,169
US - Rock Center,1 Rockefeller Plaza,1495,2020,12/10/2020,238
US - Rock Center,1 Rockefeller Plaza,1495,2020,12/9/2020,242
US - Rock Center,1 Rockefeller Plaza,1495,2020,12/8/2020,259
US - Rock Center,1 Rockefeller Plaza,1495,2020,12/7/2020,226
US - Rock Center,1 Rockefeller Plaza,1495,2020,12/4/2020,176
US - Rock Center,1 Rockefeller Plaza,1495,2020,12/3/2020,251
US - Rock Center,1 Rockefeller Plaza,1495,2020,12/2/2020,241
US - Rock Center,1 Rockefeller Plaza,1495,2020,12/1/2020,264
US - Rock Center,1 Rockefeller Plaza,1495,2020,11/30/2020,223
US - Rock Center,1 Rockefeller Plaza,1495,2020,11/27/2020,45
US - Rock Center,1 Rockefeller Plaza,1495,2020,11/26/2020,0
US - Rock Center,1 Rockefeller Plaza,1495,2020,11/25/2020,180
US - Rock Center,1 Rockefeller Plaza,1495,2020,11/24/2020,228
US - Rock Center,1 Rockefeller Plaza,1495,2020,11/23/2020,208
US - Rock Center,1 Rockefeller Plaza,1495,2020,11/20/2020,166
US - Rock Center,1 Rockefeller Plaza,1495,2020,11/19/2020,247
US - Rock Center,1 Rockefeller Plaza,1495,2020,11/18/2020,266
US - Rock Center,1 Rockefeller Plaza,1495,2020,11/17/2020,275
US - Rock Center,1 Rockefeller Plaza,1495,2020,11/16/2020,240
US - Rock Center,1 Rockefeller Plaza,1495,2020,11/13/2020,185
US - Rock Center,1 Rockefeller Plaza,1495,2020,11/12/2020,244
US - Rock Center,1 Rockefeller Plaza,1495,2020,11/11/2020,246
US - Rock Center,1 Rockefeller Plaza,1495,2020,11/10/2020,293
US - Rock Center,1 Rockefeller Plaza,1495,2020,11/9/2020,242
US - Rock Center,1 Rockefeller Plaza,1495,2020,11/6/2020,184
US - Rock Center,1 Rockefeller Plaza,1495,2020,11/5/2020,257
US - Rock Center,1 Rockefeller Plaza,1495,2020,11/4/2020,179
US - Rock Center,1 Rockefeller Plaza,1495,2020,11/3/2020,242
US - Rock Center,1 Rockefeller Plaza,1495,2020,11/2/2020,258
US - Rock Center,1 Rockefeller Plaza,1495,2020,10/30/2020,164
US - Rock Center,1 Rockefeller Plaza,1495,2020,10/29/2020,290
US - Rock Center,1 Rockefeller Plaza,1495,2020,10/28/2020,308
US - Rock Center,1 Rockefeller Plaza,1495,2020,10/27/2020,309
US - Rock Center,1 Rockefeller Plaza,1495,2020,10/26/2020,230
US - Rock Center,1 Rockefeller Plaza,1495,2020,10/23/2020,193
US - Rock Center,1 Rockefeller Plaza,1495,2020,10/22/2020,262
US - Rock Center,1 Rockefeller Plaza,1495,2020,10/21/2020,272
US - Rock Center,1 Rockefeller Plaza,1495,2020,10/20/2020,276
US - Rock Center,1 Rockefeller Plaza,1495,2020,10/19/2020,236
US - Rock Center,1 Rockefeller Plaza,1495,2020,10/16/2020,196
US - Rock Center,1 Rockefeller Plaza,1495,2020,10/15/2020,296
US - Rock Center,1 Rockefeller Plaza,1495,2020,10/14/2020,300
US - Rock Center,1 Rockefeller Plaza,1495,2020,10/13/2020,292
US - Rock Center,1 Rockefeller Plaza,1495,2020,10/12/2020,124
US - Rock Center,1 Rockefeller Plaza,1495,2020,10/9/2020,192
US - Rock Center,1 Rockefeller Plaza,1495,2020,10/8/2020,292
US - Rock Center,1 Rockefeller Plaza,1495,2020,10/7/2020,270
US - Rock Center,1 Rockefeller Plaza,1495,2020,10/6/2020,279
US - Rock Center,1 Rockefeller Plaza,1495,2020,10/5/2020,239
US - Rock Center,1 Rockefeller Plaza,1495,2020,10/2/2020,202
US - Rock Center,1 Rockefeller Plaza,1495,2020,10/1/2020,278
US - Rock Center,1 Rockefeller Plaza,1495,2020,9/30/2020,287
US - Rock Center,1 Rockefeller Plaza,1495,2020,9/29/2020,271
US - Rock Center,1 Rockefeller Plaza,1495,2020,9/28/2020,194
US - Rock Center,1 Rockefeller Plaza,1495,2020,9/25/2020,188
US - Rock Center,1 Rockefeller Plaza,1495,2020,9/24/2020,319
US - Rock Center,1 Rockefeller Plaza,1495,2020,9/23/2020,339
US - Rock Center,1 Rockefeller Plaza,1495,2020,9/22/2020,376
US - Rock Center,1 Rockefeller Plaza,1495,2020,9/21/2020,317
US - Rock Center,1 Rockefeller Plaza,1495,2020,9/18/2020,204
US - Rock Center,1 Rockefeller Plaza,1495,2020,9/17/2020,300
US - Rock Center,1 Rockefeller Plaza,1495,2020,9/16/2020,274
US - Rock Center,1 Rockefeller Plaza,1495,2020,9/15/2020,299
US - Rock Center,1 Rockefeller Plaza,1495,2020,9/14/2020,264
US - Rock Center,1 Rockefeller Plaza,1495,2020,9/11/2020,171
US - Rock Center,1 Rockefeller Plaza,1495,2020,9/10/2020,247
US - Rock Center,1 Rockefeller Plaza,1495,2020,9/9/2020,251
US - Rock Center,1 Rockefeller Plaza,1495,2020,9/8/2020,259
US - Rock Center,1 Rockefeller Plaza,1495,2020,9/7/2020,15
US - Rock Center,1 Rockefeller Plaza,1495,2020,9/4/2020,132
US - Rock Center,1 Rockefeller Plaza,1495,2020,9/3/2020,214
US - Rock Center,1 Rockefeller Plaza,1495,2020,9/2/2020,225
US - Rock Center,1 Rockefeller Plaza,1495,2020,9/1/2020,232
US - Rock Center,1 Rockefeller Plaza,1495,2020,8/31/2020,203
US - Rock Center,1 Rockefeller Plaza,1495,2020,8/28/2020,150
US - Rock Center,1 Rockefeller Plaza,1495,2020,8/27/2020,186
US - Rock Center,1 Rockefeller Plaza,1495,2020,8/26/2020,193
US - Rock Center,1 Rockefeller Plaza,1495,2020,8/25/2020,198
US - Rock Center,1 Rockefeller Plaza,1495,2020,8/24/2020,160
US - Rock Center,1 Rockefeller Plaza,1495,2020,8/21/2020,118
US - Rock Center,1 Rockefeller Plaza,1495,2020,8/20/2020,213
US - Rock Center,1 Rockefeller Plaza,1495,2020,8/19/2020,207
US - Rock Center,1 Rockefeller Plaza,1495,2020,8/18/2020,233
US - Rock Center,1 Rockefeller Plaza,1495,2020,8/17/2020,217
US - Rock Center,1 Rockefeller Plaza,1495,2020,8/14/2020,153
US - Rock Center,1 Rockefeller Plaza,1495,2020,8/13/2020,198
US - Rock Center,1 Rockefeller Plaza,1495,2020,8/12/2020,186
US - Rock Center,1 Rockefeller Plaza,1495,2020,8/11/2020,177
US - Rock Center,1 Rockefeller Plaza,1495,2020,8/10/2020,157
US - Rock Center,1 Rockefeller Plaza,1495,2020,8/7/2020,116
US - Rock Center,1 Rockefeller Plaza,1495,2020,8/6/2020,178
US - Rock Center,1 Rockefeller Plaza,1495,2020,8/5/2020,186
US - Rock Center,1 Rockefeller Plaza,1495,2020,8/4/2020,154
US - Rock Center,1 Rockefeller Plaza,1495,2020,8/3/2020,167
US - Rock Center,1 Rockefeller Plaza,1495,2020,7/31/2020,118
US - Rock Center,1 Rockefeller Plaza,1495,2020,7/30/2020,211
US - Rock Center,1 Rockefeller Plaza,1495,2020,7/29/2020,227
US - Rock Center,1 Rockefeller Plaza,1495,2020,7/28/2020,225
US - Rock Center,1 Rockefeller Plaza,1495,2020,7/27/2020,191
US - Rock Center,1 Rockefeller Plaza,1495,2020,7/24/2020,142
US - Rock Center,1 Rockefeller Plaza,1495,2020,7/23/2020,176
US - Rock Center,1 Rockefeller Plaza,1495,2020,7/22/2020,175
US - Rock Center,1 Rockefeller Plaza,1495,2020,7/21/2020,194
US - Rock Center,1 Rockefeller Plaza,1495,2020,7/20/2020,156
US - Rock Center,1 Rockefeller Plaza,1495,2020,7/17/2020,116
US - Rock Center,1 Rockefeller Plaza,1495,2020,7/16/2020,182
US - Rock Center,1 Rockefeller Plaza,1495,2020,7/15/2020,206
US - Rock Center,1 Rockefeller Plaza,1495,2020,7/14/2020,168
US - Rock Center,1 Rockefeller Plaza,1495,2020,7/13/2020,152
US - Rock Center,1 Rockefeller Plaza,1495,2020,7/10/2020,114
US - Rock Center,1 Rockefeller Plaza,1495,2020,7/9/2020,205
US - Rock Center,1 Rockefeller Plaza,1495,2020,7/8/2020,184
US - Rock Center,1 Rockefeller Plaza,1495,2020,7/7/2020,188
US - Rock Center,1 Rockefeller Plaza,1495,2020,7/6/2020,143
US - Rock Center,1 Rockefeller Plaza,1495,2020,7/3/2020,37
US - Rock Center,1 Rockefeller Plaza,1495,2020,7/2/2020,148
US - Rock Center,1 Rockefeller Plaza,1495,2020,7/1/2020,171
US - Rock Center,1 Rockefeller Plaza,1495,2020,6/30/2020,160
US - Rock Center,1 Rockefeller Plaza,1495,2020,6/29/2020,148
US - Rock Center,1 Rockefeller Plaza,1495,2020,6/26/2020,135
US - Rock Center,1 Rockefeller Plaza,1495,2020,6/25/2020,170
US - Rock Center,1 Rockefeller Plaza,1495,2020,6/24/2020,178
US - Rock Center,1 Rockefeller Plaza,1495,2020,6/23/2020,173
US - Rock Center,1 Rockefeller Plaza,1495,2020,6/22/2020,151
US - Rock Center,1 Rockefeller Plaza,1495,2020,6/19/2020,100
